side,index,mode_1,mode_2,theta_rad,phi_rad
left,1,7,8,0.87170117,1.23433208
left,2,8,9,1.12833231,-0.79603207
left,3,5,6,1.01909268,-1.22282600
left,4,6,7,0.67644434,-1.88906395
left,5,7,8,1.23125248,-2.38611007
left,6,8,9,0.79398107,-0.93157077
left,7,3,4,1.29751406,3.10620141
left,8,4,5,0.84664151,0.71481884
left,9,5,6,1.28608657,-2.06375551
left,10,6,7,1.14416542,-1.35695934
left,11,7,8,1.14708089,2.34627271
left,12,8,9,1.01831709,-1.05149055
left,13,1,2,1.03991572,2.66465139
left,14,2,3,1.09616114,2.57641935
left,15,3,4,1.46798728,0.45162407
left,16,4,5,0.90015261,-1.88996863
left,17,5,6,1.20664148,-0.14190565
left,18,6,7,1.08414121,-1.56517231
left,19,7,8,1.54870792,-1.86068714
left,20,8,9,0.86024327,2.30175090
right,1,1,2,0.52204975,0.59008169
right,2,2,3,1.05177722,-1.63887262
right,3,3,4,1.19208398,2.28437757
right,4,4,5,1.38447330,-2.45441604
right,5,5,6,1.38366682,-0.46680534
right,6,6,7,0.84835850,2.41846085
right,7,7,8,0.98240920,-0.55604106
right,8,1,2,0.62559982,2.45467138
right,9,2,3,1.24095802,2.86735916
right,10,3,4,1.33961954,2.37093663
right,11,4,5,0.99944538,-2.43411469
right,12,5,6,0.70426787,1.72149539
right,13,1,2,0.85667125,-0.55910289
right,14,2,3,0.93886045,0.94219989
right,15,3,4,0.42923996,2.01792288
right,16,1,2,0.43028055,-1.98033023
