bs_index,mode_m,mode_n,deltaF_pct,deltaP_pct,F_perturbed,rank_by_F
4,7,8,1.2725999067850542,10.052833278555678,0.987273365907555,1
12,7,8,1.2725999067850542,10.052833278555678,0.987273365907555,2
20,7,8,1.2725999067850542,10.052833278555678,0.987273365907555,3
28,7,8,1.2725999067850542,10.052833278555678,0.987273365907555,4
36,7,8,1.2725999067850542,10.052833278555678,0.987273365907555,5
5,2,3,0.8237882788930478,6.17631985999706,0.9917614792996734,6
13,2,3,0.8237882788930478,6.17631985999706,0.9917614792996734,7
21,2,3,0.8237882788930478,6.17631985999706,0.9917614792996734,8
29,2,3,0.8237882788930478,6.17631985999706,0.9917614792996734,9
1,1,2,0.7212636980023469,5.952237195168172,0.992786724449132,10
9,1,2,0.7212636980023469,5.952237195168172,0.992786724449132,11
17,1,2,0.7212636980023469,5.952237195168172,0.992786724449132,12
25,1,2,0.7212636980023469,5.952237195168172,0.992786724449132,13
33,1,2,0.7212636980023469,5.952237195168172,0.992786724449132,14
8,8,9,0.46861244623417747,12.791710502035736,0.9953132353417353,15
16,8,9,0.46861244623417747,12.791710502035736,0.9953132353417353,16
24,8,9,0.46861244623417747,12.791710502035736,0.9953132353417353,17
32,8,9,0.46861244623417747,12.791710502035736,0.9953132353417353,18
2,3,4,0.18492903533038607,4.034334244807996,0.9981500676260929,19
10,3,4,0.18492903533038607,4.034334244807996,0.9981500676260929,20
18,3,4,0.18492903533038607,4.034334244807996,0.9981500676260929,21
26,3,4,0.18492903533038607,4.034334244807996,0.9981500676260929,22
34,3,4,0.18492903533038607,4.034334244807996,0.9981500676260929,23
7,6,7,0.04203405475778864,4.836853013776561,0.999579016512704,24
15,6,7,0.04203405475778864,4.836853013776561,0.999579016512704,25
23,6,7,0.04203405475778864,4.836853013776561,0.999579016512704,26
31,6,7,0.04203405475778864,4.836853013776561,0.999579016512704,27
6,4,5,2.2204474774645245e-14,1.5760638619164837e-13,0.9999993567899144,28
14,4,5,2.2204474774645245e-14,1.5760638619164837e-13,0.9999993567899144,29
22,4,5,2.2204474774645245e-14,1.5760638619164837e-13,0.9999993567899144,30
30,4,5,2.2204474774645245e-14,1.5760638619164837e-13,0.9999993567899144,31
3,5,6,1.1102237387322623e-14,1.8912766342997806e-13,0.9999993567899147,32
11,5,6,1.1102237387322623e-14,1.8912766342997806e-13,0.9999993567899147,33
19,5,6,1.1102237387322623e-14,1.8912766342997806e-13,0.9999993567899147,34
27,5,6,1.1102237387322623e-14,1.8912766342997806e-13,0.9999993567899147,35
35,5,6,1.1102237387322623e-14,1.8912766342997806e-13,0.9999993567899147,36
